Type,SKU,Name,Published,Visibility in catalog,Short description,Description,In stock?,Categories,Tags,Images
simple,TUE-BA-001,Bandeja para cadenas o pulseras con canales y gancho (tue-ba-001),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para cadenas o pulseras con canales y gancho. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-001</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 1.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-001",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-001-bandeja-para-cadenas-o-pulseras-con-canales-y-gancho.jpg
simple,TUE-BA-002,Bandeja a cuadros para joyas varias (tue-ba-002),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja a cuadros para joyas varias. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-002</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 1.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-002",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-002-bandeja-a-cuadros-para-joyas-varias.jpg
simple,TUE-BA-003,Bandeja con ranuras acolchada para anillos (tue-ba-003),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja con ranuras acolchada para anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-003</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 1.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-003",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-003-bandeja-con-ranuras-acolchada-para-anillos.jpg
simple,TUE-BA-009,Bandeja plana para joyas varias (tue-ba-009),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja plana para joyas varias. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-009</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 1.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-009",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-009-bandeja-plana-para-joyas-varias.jpg
simple,TUE-BA-004,Bandeja para set de aros colgantes con ranura cadenas (tue-ba-004),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para set de aros colgantes con ranura cadenas. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-004</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 2.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-004",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-004-bandeja-para-set-de-aros-colgantes-con-ranura-cadenas.jpg
simple,TUE-BA-010,Bandeja para dos set de aros colgantes (tue-ba-010),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para dos set de aros colgantes. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-010</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 2.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-010",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-010-bandeja-para-dos-set-de-aros-colgantes.jpg
simple,TUE-BA-011,Bandeja para dos set de aros colgantes (tue-ba-011),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para dos set de aros colgantes. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-011</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 2.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-011",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-011-bandeja-para-dos-set-de-aros-colgantes.jpg
simple,TUE-BA-005,Bandeja con gancho para cadenas (tue-ba-005),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja con gancho para cadenas. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-005</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 2.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-005",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-005-bandeja-con-gancho-para-cadenas.jpg
simple,TUE-BA-012,Bandeja con gancho para cadenas (tue-ba-012),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja con gancho para cadenas. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-012</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 2.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-012",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-012-bandeja-con-gancho-para-cadenas.jpg
simple,TUE-BA-013,Bandeja con ganchos para anillos (tue-ba-013),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja con ganchos para anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-013</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 3.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-013",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-013-bandeja-con-ganchos-para-anillos.jpg
